Keyword
마운트곡스
탈중앙거래소
탈중앙암호화폐거래소
DEX
ICO
리버스 ICO
IEO
소프트캡
하드캡
크립토펀드
크립토밸리
증권형토큰
STO
백서
화이트페이퍼
다이코
DAICO
IBO
APO
자금유동성
크라우드세일
토큰세일
KYC
스캠
USDT
엘로우페이퍼
사토시 나카모토
비탈릭 부테린
댄 라리머
찰스 호스킨슨
우지한
잔커퇀
창펑 자오
찰리 리
김종협
박창기
표철민
김서준
네드 스캇
닉 재보
다 홍페이
데이비드 손스테보
데이비드 차움
로저 버
롭 쉰스
리린
리준
맥스 코덱
맨스 하몬
브렌든 아이크
세르게이 이반체글로
세르게이 포포프
쉬밍싱
스티븐 케이드
알렉스 탭스콧
얀 차펙
비트메인
비트퓨리
리플랩스
블록원
판테라캐피탈
아이콘루프
글로스퍼
블로코
코인플러그
더블체인
두나무
해시드
파운데이션엑스
체인파트너스
채굴
채굴기
채굴장
채굴업체
마이닝 풀
채굴지역
마이닝
채굴지역
마이너
POW
POS
지분증명
위임지분증명
DPoS
해시그라프
탱글
해시트리
머클트리
타임스탬프
루트해시
이전해시
풀노드
라이트노드
해시값
메인넷
해시
합의 알고리즘
체인 알고리즘
하드포크
작업증명
사이드체인
샤딩
영지식증명
제네시스블록
하드포크
블록높이
세그윗
논스
논스값
